工作表名称,一级标题,二级标题,表格类型,表格顺序,备注,表格序号,列数合计,列宽1,列宽2,列宽3,列宽4,列宽5,列宽6,列宽7,列宽8,列宽9,列宽10,列宽11,列宽12,列宽13
QCF109 应付职工薪酬（设定提存计划）(附注109表),八、财务报表主要项目注释,33、应付职工薪酬,5,3,,104,5,26.4,13.4,13.4,13.4,13.4,,,,,,,,
QCF110 应交税费(附注110表),八、财务报表主要项目注释,34、应交税费,1,1,,105,5,26.4,13.4,13.4,13.4,13.4,,,,,,,,
QCF111 其他应付款(附注111表),八、财务报表主要项目注释,35、其他应付款,1,1,,106,3,53.2,13.47,13.33,,,,,,,,,,
QCF112 应付利息(附注112表),八、财务报表主要项目注释,35、其他应付款,1,2,,107,3,53.27,13.47,13.27,,,,,,,,,,
QCF113 应付利息（重要的已逾期未支付的利息情况）(附注1,八、财务报表主要项目注释,35、其他应付款,5,3,,108,3,53.2,13.6,13.2,,,,,,,,,,
QCF114 应付股利(附注114表),八、财务报表主要项目注释,35、其他应付款,1,4,,109,3,53.2,13.6,13.2,,,,,,,,,,
QCF115 其他应付款（按款项性质列示其他应付款）(附注11,八、财务报表主要项目注释,35、其他应付款,5,5,,110,3,26.67,40.27,13.07,,,,,,,,,,
QCF116 其他应付款（账龄超过1年的重要其他应付款）(附注,八、财务报表主要项目注释,35、其他应付款,5,6,,111,3,26.67,40.13,13.2,,,,,,,,,,
QCF117 持有待售负债(附注117表),八、财务报表主要项目注释,36、持有待售负债,5,1,,112,5,26.67,13.33,13.33,13.33,13.33,,,,,,,,
QCF118 一年内到期的非流动负债(附注118表),八、财务报表主要项目注释,37、一年内到期的非流动负债,1,1,,113,3,26.67,26.67,26.67,,,,,,,,,,
QCF119 其他流动负债(附注119表),八、财务报表主要项目注释,38、其他流动负债,5,1,,114,3,26.67,26.67,26.67,,,,,,,,,,
QCF120 长期借款(附注120表),八、财务报表主要项目注释,39、长期借款,1,1,,115,4,26.73,17.73,17.8,17.73,,,,,,,,,
QCF121 应付债券(附注121表),八、财务报表主要项目注释,40、应付债券,5,1,,116,3,26.67,26.67,26.67,,,,,,,,,,
QCF122 应付债券的增减变动（不包括划分为金融负债的优先股,八、财务报表主要项目注释,40、应付债券,5,2,,117,11,6.27,3.67,6.33,6.27,6.27,9,9,9,9,9,6.2,,
QCF123 优先股、永续债等金融工具（期末发行在外的优先股、,八、财务报表主要项目注释,41、优先股、永续债等金融工具,5,1,,118,10,11.4,8.47,9.2,9.93,6.87,4.87,4.87,10.4,4.87,9.13,,,
QCF124 优先股、永续债等金融工具（发行在外的优先股、永续,八、财务报表主要项目注释,41、优先股、永续债等金融工具,5,2,,119,9,13.07,6.13,11,6.13,9.8,6.13,11,6.07,10.67,,,,
QCF125 优先股、永续债等金融工具（归属于权益工具持有者的,八、财务报表主要项目注释,41、优先股、永续债等金融工具,1,3,,120,3,53.33,13.33,13.33,,,,,,,,,,
QCF127 长期应付款(附注127表),八、财务报表主要项目注释,42、长期应付款,1,1,,121,5,26.67,13.33,13.33,13.33,13.33,,,,,,,,
QCF128 长期应付款（期末余额最大的前5项）(附注128表,八、财务报表主要项目注释,42、长期应付款,5,2,,122,3,26.67,26.67,26.67,,,,,,,,,,
QCF129 专项应付款（期末余额最大的前5项）(附注129表,八、财务报表主要项目注释,42、长期应付款,5,3,,123,5,26.67,13.33,13.33,13.33,13.33,,,,,,,,
QCF130 长期应付职工薪酬(附注130表),八、财务报表主要项目注释,43、长期应付职工薪酬（不适用的删除）,1,1,后缺5张表,124,5,32.2,11.93,12,12,11.87,,,,,,,,
QCF131 预计负债(附注131表),八、财务报表主要项目注释,44、预计负债,1,1,,130,3,26.67,26.67,26.67,,,,,,,,,,
QCF132 递延收益(附注132表),八、财务报表主要项目注释,45、递延收益,5,1,后缺一张政府补助情况,131,5,16,16,16,16,16,,,,,,,,
QCF133 其他非流动负债(附注133表),八、财务报表主要项目注释,46、其他非流动负债,5,1,,133,3,26.67,26.67,26.67,,,,,,,,,,
